anime_id,title,title_english,title_synonyms,type,source,episodes,status,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,related,producer,licensor,studio,genre,duration_min,aired_from_year
1,Cowboy Bebop,Cowboy Bebop,,TV,Original,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999","{'from': '1998-04-03', 'to': '1999-04-24'}",24 min. per ep.,R - 17+ (violence & profanity),8.81,365465,27,38,707773,39145,Spring 1998,Saturdays at 01:00 (JST),"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop', 'title': 'Cowboy Bebop'}, {'mal_id': 174, 'type': 'manga', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop', 'title': 'Shooting Star Bebop: Cowboy Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira', 'title': 'Cowboy Bebop: Tengoku no Tobira'}, {'mal_id': 17205, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi', 'title': 'Cowboy Bebop: Ein no Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues', 'title': 'Cowboy Bebop: Yose Atsume Blues'}]}",Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",24,1998
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Cowboy Bebop: Knockin&#039; on Heaven&#039;s Door,Movie,Original,1,Finished Airing,1-Sep-01,"{'from': '2001-09-01', 'to': '2001-09-01'}",1 hr. 54 min.,R - 17+ (violence & profanity),8.41,111344,157,438,180246,706,,,"{'Parent story': [{'mal_id': 1, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop', 'title': 'Cowboy Bebop'}]}","Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,"Action, Space, Drama, Mystery, Sci-Fi",114,2001
6,Trigun,Trigun,,TV,Manga,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998","{'from': '1998-04-01', 'to': '1998-09-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.31,197843,234,138,373877,9795,Spring 1998,Thursdays at 01:15 (JST),"{'Adaptation': [{'mal_id': 703, 'type': 'manga', 'url': 'https://myanimelist.net/manga/703/Trigun', 'title': 'Trigun'}], 'Side story': [{'mal_id': 4106, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble', 'title': 'Trigun: Badlands Rumble'}]}",Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",24,1998
7,Witch Hunter Robin,Witch Hunter Robin,WHR,TV,Original,26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002","{'from': '2002-07-02', 'to': '2002-12-24'}",25 min. per ep.,PG-13 - Teens 13 or older,7.34,31908,2292,1104,75017,524,Summer 2002,Tuesdays at Unknown,[],Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,"Action, Magic, Police, Supernatural, Drama, Mystery",25,2002
8,Beet the Vandel Buster,Beet the Vandel Buster,"Adventure King Beet, Bouken Ou Beet",TV,Manga,52,Finished Airing,"Sep 30, 2004 to Sep 29, 2005","{'from': '2004-09-30', 'to': '2005-09-29'}",23 min. per ep.,PG - Children,7.04,4760,3400,3495,11276,13,Fall 2004,Unknown,"{'Adaptation': [{'mal_id': 1348, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1348/Boukenou_Beet', 'title': 'Boukenou Beet'}], 'Sequel': [{'mal_id': 1123, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1123/Beet_the_Vandel_Buster_Excellion', 'title': 'Beet the Vandel Buster Excellion'}]}",,,Toei Animation,"Adventure, Fantasy, Shounen, Supernatural",23,2004
15,Eyeshield 21,,Eyeshield21,TV,Manga,145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008","{'from': '2005-04-06', 'to': '2008-03-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.05,48825,487,812,106718,1650,Spring 2005,Unknown,"{'Adaptation': [{'mal_id': 43, 'type': 'manga', 'url': 'https://myanimelist.net/manga/43/Eyeshield_21', 'title': 'Eyeshield 21'}], 'Side story': [{'mal_id': 1317, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl', 'title': 'Eyeshield 21: Maboroshi no Golden Bowl'}, {'mal_id': 6418, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6418/Eyeshield_21__Jump_Festa_2005_Special', 'title': 'Eyeshield 21: Jump Festa 2005 Special'}]}","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Sentai Filmworks,Studio Gallop,"Action, Sports, Comedy, Shounen",23,2005
16,Hachimitsu to Clover,Honey and Clover,"HachiKuro, Honey & Clover",TV,Manga,24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005","{'from': '2005-04-15', 'to': '2005-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.14,54404,382,500,160519,3618,Spring 2005,Fridays at 00:35 (JST),"{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover', 'title': 'Hachimitsu to Clover'}], 'Side story': [{'mal_id': 644, 'type': 'anime', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials', 'title': 'Hachimitsu to Clover Specials'}], 'Sequel': [{'mal_id': 1142, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II', 'title': 'Hachimitsu to Clover II'}]}","Genco, Fuji TV, Shueisha",Viz Media,J.C.Staff,"Comedy, Drama, Josei, Romance, Slice of Life",23,2005
17,Hungry Heart: Wild Striker,,,TV,Manga,52,Finished Airing,"Sep 11, 2002 to Sep 10, 2003","{'from': '2002-09-11', 'to': '2003-09-10'}",23 min. per ep.,PG-13 - Teens 13 or older,7.69,8885,1130,2967,16161,204,Fall 2002,Wednesdays at Unknown,"{'Adaptation': [{'mal_id': 4147, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4147/Hungry_Heart', 'title': 'Hungry Heart'}]}",,,Nippon Animation,"Slice of Life, Comedy, Sports, Shounen",23,2002
18,Initial D Fourth Stage,,Initial D 4th Stage,TV,Manga,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006","{'from': '2004-04-17', 'to': '2006-02-18'}",27 min. per ep.,PG-13 - Teens 13 or older,8.24,37675,276,1261,64574,588,Spring 2004,Unknown,"{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'url': 'https://myanimelist.net/manga/375/Initial_D', 'title': 'Initial D'}], 'Prequel': [{'mal_id': 187, 'type': 'anime', 'url': 'https://myanimelist.net/anime/187/Initial_D_Third_Stage', 'title': 'Initial D Third Stage'}], 'Summary': [{'mal_id': 3931, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2', 'title': 'Initial D Battle Stage 2'}], 'Side story': [{'mal_id': 5228, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2', 'title': 'Initial D Extra Stage 2'}], 'Sequel': [{'mal_id': 15059, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage', 'title': 'Initial D Fifth Stage'}]}","OB Planning, Studio Jack",Funimation,A.C.G.T.,"Action, Cars, Sports, Drama, Seinen",27,2004
20,Naruto,Naruto,NARUTO,TV,Manga,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007","{'from': '2002-10-03', 'to': '2007-02-08'}",23 min. per ep.,PG-13 - Teens 13 or older,7.88,648605,745,10,980265,34468,Fall 2002,Thursdays at 19:30 (JST),"{'Adaptation': [{'mal_id': 11, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11/Naruto', 'title': 'Naruto'}], 'Side story': [{'mal_id': 442, 'type': 'anime', 'url': 'https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo', 'title': 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!'}, {'mal_id': 594, 'type': 'anime', 'url': 'https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo', 'title': 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!'}, {'mal_id': 761, 'type': 'anime', 'url': 'https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase', 'title': 'Naruto: Akaki Yotsuba no Clover wo Sagase'}, {'mal_id': 936, 'type': 'anime', 'url': 'https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo', 'title': 'Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!'}, {'mal_id': 1074, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_taikai_Kaisai', 'title': 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!'}, {'mal_id': 2144, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo', 'title': 'Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!'}, {'mal_id': 7367, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7367/Naruto__The_Cross_Roads', 'title': 'Naruto: The Cross Roads'}], 'Sequel': [{'mal_id': 1735, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1735/Naruto__Shippuuden', 'title': 'Naruto: Shippuuden'}]}","TV Tokyo, Aniplex, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",23,2002
