header_id,transaction_date,user_id
1,6/22/2018,50
2,3/15/2018,6
3,6/2/2018,14
4,6/30/2018,39
5,5/16/2018,
6,6/7/2018,46
7,2/1/2018,17
8,5/12/2018,26
9,,48
10,6/27/2018,5
11,2/18/2018,37
12,3/16/2018,20
,6/27/2018,26
14,2/15/2018,48
15,6/25/2018,25
16,2/28/2018,
17,,26
18,4/27/2018,11
19,4/30/2018,21
20,6/19/2018,30
21,6/29/2018,29
22,1/3/2018,43
23,1/18/2018,15
24,5/19/2018,
25,2/25/2018,28
26,3/18/2018,43
27,2/10/2018,32
28,2/28/2018,4
29,4/20/2018,48
30,4/1/2018,39
31,4/14/2018,38
32,,18
33,3/11/2018,1
34,5/28/2018,35
35,6/21/2018,43
36,6/14/2018,48
,5/6/2018,18
38,3/3/2018,7
39,6/16/2018,
40,,49
41,3/28/2018,17
42,2/4/2018,49
43,5/6/2018,34
44,3/9/2018,42
45,5/22/2018,30
46,,31
47,3/7/2018,23
48,2/15/2018,12
49,2/4/2018,39
50,4/16/2018,43
